filename,artifact_role,sha256,size_bytes,supports,public_location
TSPG_LEARNED_SEED42_best_model.pth,checkpoint,7fcca75916c2d6f0f64aa5c381812ad3a305ba1a04672e9288f4251ab683c536,343559209,M1-M5,PENDING_ZENODO_ARCHIVAL_UPLOAD
TSPG_H1_0007_LEARNED_SEED42_AG1_320_FP64_TASK_GRADIENTS_v1_0.npy,raw_gradient,d02d8a31465912e7239164e965428162fa5f64f09082d5d0a158f6585b439009,,M2-M5,PENDING_ARCHIVAL_UPLOAD
TSPG_H1_0010_LEARNED_SEED42_QR_TASK320_EXACT_GEOMETRY_v1_1.npz,raw_geometry,08f23a6c0d87a58ed49c9f4bda841105f7d45eb848d18f30aa498eb42fb31074,,M1-M3,PENDING_ARCHIVAL_UPLOAD
TSPG_H1_0015_LEARNED_SEED42_TAIL_RANK5_8_COMPLEMENT_KRYLOV_L4_v1_0.npz,raw_geometry,7d78e8584d265ff3a041ce84055720106a1fa49a09e7acc31be38482208e2279,,M1,PENDING_ARCHIVAL_UPLOAD
TSPG_H1_0016_LEARNED_SEED42_AG2_320_FP64_TASK_GRADIENTS_v1_2.npy,raw_gradient,2850c66d13dc45f48baa114f540e29c3ca75903db412ac8f93c048fdb8b930eb,,M2-M5,PENDING_ARCHIVAL_UPLOAD
TSPG_H1_0016_LEARNED_SEED42_AG1_AG2_TASK_CROSSFOLD_DERIVED_v1_2.npz,derived_binary,afe9a94d1c5c7f7f3d8986348b15c7513013c77969781d54d03c0f8154b4baea,,M2-M3,PENDING_ARCHIVAL_UPLOAD
TSPG_H1_0017_LEARNED_SEED42_AG1_TO_AG2_B_NORMALIZED_CROSSFIT_DERIVED_v1_1.npz,derived_binary,6cdc0f467d7ed974be2fae4be2e973f97a403a2dc6a3e61bf32d6ba5adcc2415,2489394,M3,PENDING_ARCHIVAL_UPLOAD
TSPG_H1_0018_DUAL_GRAMS_RESAMPLES_AND_CURVES_v1_0.npz,derived_binary,228705665d79f4d917c7706059413dbb78a35795ed629a23bab69ac82c3b3855,2894583,M4-M5,PENDING_ARCHIVAL_UPLOAD
TSPG_H1_0019_FIT_LOCK_DUAL_COEFFICIENTS_v1_0_20260829.npz,fit_lock_binary,9d8d7fa7649f21a24d980172791c350dfae73c768ba7ab48a0d98b85180a8390,667162,M5,PENDING_ARCHIVAL_UPLOAD
TSPG_H1_0019_AP_PER_EXAMPLE_CAPTURE_v1_0.npz,derived_binary,e285e695b3214b282b709ad9c9bdefc1f3f37d3a97d736c131847a5a44f51cd5,763668,M5,PENDING_ARCHIVAL_UPLOAD
TSPG_H1_0019_LEARNED_SEED42_AP640_FP64_TASK_GRADIENTS_v1_0.npy,raw_gradient,0398ec1949f7d5ad326902f438c554848b86325d352d73a67078473f7fba3145,,M5,PENDING_ARCHIVAL_UPLOAD
TSPG_H1_0019_FIT_ARM_BASES_TOP32_v1_0.npz,fit_lock_binary,8bfc5c8e4bc7c677a882974a61b4e66d540f230dbb75b690ffbfe42ea47fa4e3,,M5,PENDING_ARCHIVAL_UPLOAD
