contrast,evidence_layer,k,Delta_sel_task_difference_A_minus_B,Delta_sel_B_difference_A_minus_B,log10_RB_difference_A_minus_B
PV-A__vs__PV-B2,FULLY_PROSPECTIVE_ARCHITECTURE_SEED123,4,-0.17690364225815758,-0.03981458689017264,-1.4199613393416706
PV-A__vs__PV-B2,FULLY_PROSPECTIVE_ARCHITECTURE_SEED123,8,-0.21799141826903132,-0.06405456742520241,-1.3334523981308768
PV-A__vs__PV-B2,FULLY_PROSPECTIVE_ARCHITECTURE_SEED123,16,-0.2595721146988213,-0.03696334455226896,-1.2724892135813273
PV-A__vs__PV-B2,FULLY_PROSPECTIVE_ARCHITECTURE_SEED123,32,-0.2888646399673803,-0.0017621574423685726,-1.167484884848777
PV-B1__vs__PV-B2,FULLY_PROSPECTIVE_VITS_SEED,4,0.002910252999861168,-0.0033990479863557632,-0.21666836029736047
PV-B1__vs__PV-B2,FULLY_PROSPECTIVE_VITS_SEED,8,0.012868066823757712,-0.024026462922027036,-0.1945353034384032
PV-B1__vs__PV-B2,FULLY_PROSPECTIVE_VITS_SEED,16,-0.013383588668594792,-0.006194903727666234,-0.2617569003718938
PV-B1__vs__PV-B2,FULLY_PROSPECTIVE_VITS_SEED,32,-0.006449542452957202,0.0017477516367945256,-0.2098012999297756
R0__vs__PV-A,RETROSPECTIVE_ANCHOR_CONTEXT,4,-0.12066636998481561,0.15905564211863377,-0.41131049727710334
R0__vs__PV-A,RETROSPECTIVE_ANCHOR_CONTEXT,8,-0.10633215937105783,0.12709763292784862,-0.356416096252
R0__vs__PV-A,RETROSPECTIVE_ANCHOR_CONTEXT,16,-0.07653523592119918,0.0839492401206069,-0.30747205539166433
R0__vs__PV-A,RETROSPECTIVE_ANCHOR_CONTEXT,32,-0.07084301205677801,0.020489947800493014,-0.25215222458165787
R0__vs__PV-B1,RETROSPECTIVE_ANCHOR_CONTEXT,4,-0.30048026524283433,0.12264010321481689,-1.6146034763214134
R0__vs__PV-B1,RETROSPECTIVE_ANCHOR_CONTEXT,8,-0.33719164446384686,0.08706952842467325,-1.4953331909444736
R0__vs__PV-B1,RETROSPECTIVE_ANCHOR_CONTEXT,16,-0.3227237619514257,0.053180799296004166,-1.3182043686010978
R0__vs__PV-B1,RETROSPECTIVE_ANCHOR_CONTEXT,32,-0.35325810957120113,0.016980038721329915,-1.2098358095006594
