arm,k,Delta_sel_task,Delta_sel_B,R_B,M_mean,F_ratio,R_norm,ordering_sentinel,label
PV-A,4,-0.17025455132585787,0.20145559364556243,0.008803716536936158,21.566056071192445,1.0152631900155906,21.89522288289394,MEAN_DENOMINATOR_ORDERING_SUFFICIENT_FOR_SIGN,DENOMINATOR_SELECTIVE_REVERSAL
PV-A,8,-0.20583812425242132,0.22091371297796983,0.01079064847874711,17.466845409091796,0.9507839820289198,16.607196831539856,MEAN_DENOMINATOR_ORDERING_SUFFICIENT_FOR_SIGN,DENOMINATOR_SELECTIVE_REVERSAL
PV-A,16,-0.2288266271063165,0.2679056049060435,0.01494408232757318,15.288746390108415,0.8914616375671685,13.629330893275187,MEAN_DENOMINATOR_ORDERING_SUFFICIENT_FOR_SIGN,DENOMINATOR_SELECTIVE_REVERSAL
PV-A,32,-0.24061034547583438,0.3380499884965494,0.023976046333782666,12.66237263756496,0.5914139117614756,7.488703333763766,MEAN_DENOMINATOR_ORDERING_SUFFICIENT_FOR_SIGN,DENOMINATOR_SELECTIVE_REVERSAL
PV-B1,4,0.009559343932160874,0.2378711325493793,0.14059148871948632,7.582283835834599,0.8317531939433833,6.306588797840717,MEAN_DENOMINATOR_ORDERING_SUFFICIENT_FOR_SIGN,NORMALIZED_AND_TASK_GAIN_SAME_DIRECTION
PV-B1,8,0.025021360840367712,0.2609418174811452,0.14858146621131416,7.74464247105106,0.6658790422716058,5.156995111359484,MEAN_DENOMINATOR_ORDERING_SUFFICIENT_FOR_SIGN,NORMALIZED_AND_TASK_GAIN_SAME_DIRECTION
PV-B1,16,0.01736189892391002,0.2986740457306462,0.15317982345484796,7.034374115871562,0.6096624956587465,4.288594078879546,MEAN_DENOMINATOR_ORDERING_SUFFICIENT_FOR_SIGN,NORMALIZED_AND_TASK_GAIN_SAME_DIRECTION
PV-B1,32,0.041804752038588744,0.3415598975757125,0.2175009479606192,5.254736318704481,0.6289218767418997,3.3048186273434434,MEAN_DENOMINATOR_ORDERING_SUFFICIENT_FOR_SIGN,NORMALIZED_AND_TASK_GAIN_SAME_DIRECTION
PV-B2,4,0.006649090932299706,0.24127018053573507,0.23154072562145364,4.479179150830567,0.9357383826978509,4.191339854412128,MEAN_DENOMINATOR_ORDERING_SUFFICIENT_FOR_SIGN,NORMALIZED_AND_TASK_GAIN_SAME_DIRECTION
PV-B2,8,0.01215329401661,0.28496828040317224,0.23254121812992057,4.543673031644836,0.9335101464634831,4.241564877252949,MEAN_DENOMINATOR_ORDERING_SUFFICIENT_FOR_SIGN,NORMALIZED_AND_TASK_GAIN_SAME_DIRECTION
PV-B2,16,0.03074548759250481,0.30486894945831244,0.2798713643949023,4.03437909195317,0.902598905614334,3.6414261532302814,MEAN_DENOMINATOR_ORDERING_SUFFICIENT_FOR_SIGN,NORMALIZED_AND_TASK_GAIN_SAME_DIRECTION
PV-B2,32,0.048254294491545946,0.33981214593891795,0.3525838811551333,3.2811245395765174,0.9228659950886259,3.028038263225991,MEAN_DENOMINATOR_ORDERING_SUFFICIENT_FOR_SIGN,NORMALIZED_AND_TASK_GAIN_SAME_DIRECTION
PV-C,4,-0.002223376561723861,0.29014875973004123,0.21030943931425675,4.697931204521293,1.015867396465393,4.772475141510572,MEAN_DENOMINATOR_ORDERING_SUFFICIENT_FOR_SIGN,DENOMINATOR_SELECTIVE_REVERSAL
PV-C,8,-0.013903329541319953,0.3176668261750929,0.19946234263215515,4.67638229245839,0.9922408140346252,4.640097372606019,MEAN_DENOMINATOR_ORDERING_SUFFICIENT_FOR_SIGN,DENOMINATOR_SELECTIVE_REVERSAL
PV-C,16,-0.02831948648700361,0.29935042061556927,0.220919077218763,3.9459653507322625,0.94195783246884,3.716932968772909,MEAN_DENOMINATOR_ORDERING_SUFFICIENT_FOR_SIGN,DENOMINATOR_SELECTIVE_REVERSAL
PV-C,32,-0.051208415707380744,0.2865479901419773,0.25788768877140406,3.098803291867523,0.948687903268116,2.9397971976021364,MEAN_DENOMINATOR_ORDERING_SUFFICIENT_FOR_SIGN,DENOMINATOR_SELECTIVE_REVERSAL
