arm,evidence_layer,k,eta_task_SE,eta_task_SB,Delta_sel_task,signed_Delta_task_over_eta_task_SE,abs_Delta_task_over_eta_task_SE,Delta_sel_B,R_B,label,presentation_note
R0,RETROSPECTIVE_ANCHOR_CONTEXT,4,0.3448614933871695,0.05394057207649597,-0.2909209213106735,-0.8435877211262379,0.8435877211262379,0.3605112357641962,0.003414723578631249,DENOMINATOR_SELECTIVE_REVERSAL,R0 discovery-conditioned anchor; not prospective architecture/seed evidence.
R0,RETROSPECTIVE_ANCHOR_CONTEXT,8,0.37270766908286573,0.060537385459386604,-0.31217028362347915,-0.8375740815627621,0.8375740815627621,0.34801134590581845,0.0047493201776433085,DENOMINATOR_SELECTIVE_REVERSAL,R0 discovery-conditioned anchor; not prospective architecture/seed evidence.
R0,RETROSPECTIVE_ANCHOR_CONTEXT,16,0.37824815658491223,0.07288629355739658,-0.30536186302751567,-0.8073056212210926,0.8073056212210926,0.3518548450266504,0.007362023443070938,DENOMINATOR_SELECTIVE_REVERSAL,R0 discovery-conditioned anchor; not prospective architecture/seed evidence.
R0,RETROSPECTIVE_ANCHOR_CONTEXT,32,0.4058868482048357,0.09443349067222336,-0.3114533575326124,-0.7673403533770911,0.7673403533770911,0.3585399362970424,0.01341607089719173,DENOMINATOR_SELECTIVE_REVERSAL,R0 discovery-conditioned anchor; not prospective architecture/seed evidence.
PV-A,FULLY_PROSPECTIVE_VITB_SEED123,4,0.21015485581299143,0.03990030448713357,-0.17025455132585787,-0.8101385555295507,0.8101385555295507,0.20145559364556243,0.008803716536936158,DENOMINATOR_SELECTIVE_REVERSAL,
PV-A,FULLY_PROSPECTIVE_VITB_SEED123,8,0.25364472387577924,0.04780659962335792,-0.20583812425242132,-0.8115214111578726,0.8115214111578726,0.22091371297796983,0.01079064847874711,DENOMINATOR_SELECTIVE_REVERSAL,
PV-A,FULLY_PROSPECTIVE_VITB_SEED123,16,0.2965905293383704,0.06776390223205389,-0.2288266271063165,-0.7715237152608326,0.7715237152608326,0.2679056049060435,0.01494408232757318,DENOMINATOR_SELECTIVE_REVERSAL,
PV-A,FULLY_PROSPECTIVE_VITB_SEED123,32,0.34550279390890437,0.10489244843307,-0.24061034547583438,-0.6964063669461207,0.6964063669461207,0.3380499884965494,0.023976046333782666,DENOMINATOR_SELECTIVE_REVERSAL,
PV-B1,FULLY_PROSPECTIVE_VITS_SEED42,4,0.14482851094074004,0.1543878548729009,0.009559343932160874,0.0660045723736834,0.0660045723736834,0.2378711325493793,0.14059148871948632,NORMALIZED_AND_TASK_GAIN_SAME_DIRECTION,
PV-B1,FULLY_PROSPECTIVE_VITS_SEED42,8,0.16602286145553874,0.19104422229590645,0.025021360840367712,0.15071033363118178,0.15071033363118178,0.2609418174811452,0.14858146621131416,NORMALIZED_AND_TASK_GAIN_SAME_DIRECTION,
